SS,Mã hàng,MSKH,Đối tượng gửi dữ liệu,Nguồn dữ liệu,Yêu cầu đặc biệt khi gửi dữ liệu,Part Number,Gui_DL,Nơi nhận dữ liệu,DUNG LƯỢNG 1 LẦN GỬI,Status
FC140SE73055E,73055E,882175K,MONTH,MAP,,-,TB,KRO,8.0,
FC140SE73055H,73055H,882175K,MONTH,MAP,,-,TB,KRO,8.0,
FC140SE74986A,74986A,892521C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
FC140SE75052B,75052B,889006W,MONTH,MAP,,-,DD,MCH-Z (SZO),8.0,Không có dữ liệu
FC140SE75052C,75052C,950956E,MONTH,MAP,,-,TB,THO (KD),8.0,
FC140SE75052C,75052C,889006W,MONTH,MAP,,-,DD,MCH-Z (SZO),8.0,Đã xác nhận
FC140SE75052C,75052C,955476Q,MONTH,MAP,,-,TB,THO (KD),8.0,
FC140SE75456A,75456A,883421K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
FC140SE75857B,75857B,882027K,MONTH,MAP,,-,DD,KRO,8.0,Đã xác nhận
RF370CB44739G,44739G,882530K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB44739H,44739H,882530K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB44740H,44740H,882530K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB44741F,44741F,882530K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB46294B,46294B,882530K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB46294C,46294C,882530K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB46294D,46294D,882530K,MONTH,MAP,,-,DD,KRO,8.0,Đã xác nhận
RF370CB70135K,70135K,882027K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB70135N,70135N,882027K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB70135Q,70135Q,882027K,MONTH,MAP,,-,DD,KRO,8.0,Đã xác nhận
RF370CB70246F,70246F,882027K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB70246H,70246H,882027K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB70247F,70247F,882027K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB70948D,70948D,882027K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB70996B,70996B,962185H,MONTH,MAP,,-,DD,MCH-Z (SZO),,Không có dữ liệu
RF370CB70998D,70998D,504894U,MONTH,KJS,List excel,-,TB,CEBI,8.0,
RF370CB70998G,70998G,504894U,MONTH,KJS,List excel,-,TB,CEBI,8.0,
RF370CB70999D,70999D,504894U,MONTH,KJS,List excel,-,TB,CEBI,8.0,
RF370CB70999E,70999E,504894U,MONTH,KJS,List excel,-,TB,CEBI,8.0,
RF370CB71002H,71002H,109116,MONTH,KJS,,-,TB,TGK,8.0,
